car_numbers1,car_numbers2,car_numbers3,car_numbers4,duration1,duration3,total_waiting_time
250,250,150,150,10,10,7539.0
250,250,150,150,10,20,14724.0
250,250,150,150,10,30,22793.0
250,250,150,150,10,40,30867.0
250,250,150,150,10,50,38894.0
250,250,150,150,10,60,47044.0
250,250,150,150,10,70,55685.0
250,250,150,150,10,80,63602.0
250,250,150,150,20,10,5228.0
250,250,150,150,20,20,5917.0
250,250,150,150,20,30,9630.0
250,250,150,150,20,40,13827.0
250,250,150,150,20,50,18233.0
250,250,150,150,20,60,22645.0
250,250,150,150,20,70,27035.0
250,250,150,150,20,80,31556.0
250,250,150,150,30,10,6782.0
250,250,150,150,30,20,6076.0
250,250,150,150,30,30,8479.0
250,250,150,150,30,40,11726.0
250,250,150,150,30,50,15415.0
250,250,150,150,30,60,18958.0
250,250,150,150,30,70,22805.0
250,250,150,150,30,80,26263.0
250,250,150,150,40,10,8411.0
250,250,150,150,40,20,6752.0
250,250,150,150,40,30,8283.0
250,250,150,150,40,40,10814.0
250,250,150,150,40,50,13730.0
250,250,150,150,40,60,16782.0
250,250,150,150,40,70,19881.0
250,250,150,150,40,80,22898.0
250,250,150,150,50,10,10201.0
250,250,150,150,50,20,7662.0
250,250,150,150,50,30,8440.0
250,250,150,150,50,40,10194.0
250,250,150,150,50,50,12366.0
250,250,150,150,50,60,15270.0
250,250,150,150,50,70,17745.0
250,250,150,150,50,80,19916.0
250,250,150,150,60,10,11983.0
250,250,150,150,60,20,8150.0
250,250,150,150,60,30,8341.0
250,250,150,150,60,40,9744.0
250,250,150,150,60,50,11555.0
250,250,150,150,60,60,13547.0
250,250,150,150,60,70,15512.0
250,250,150,150,60,80,17681.0
250,250,150,150,70,10,13843.0
250,250,150,150,70,20,9186.0
250,250,150,150,70,30,8709.0
250,250,150,150,70,40,9634.0
250,250,150,150,70,50,11244.0
250,250,150,150,70,60,13022.0
250,250,150,150,70,70,14584.0
250,250,150,150,70,80,16471.0
250,250,150,150,80,10,15656.0
250,250,150,150,80,20,10124.0
250,250,150,150,80,30,9322.0
250,250,150,150,80,40,9968.0
250,250,150,150,80,50,11351.0
250,250,150,150,80,60,12695.0
250,250,150,150,80,70,14401.0
250,250,150,150,80,80,16302.0
350,100,50,50,10,10,4176.0
350,100,50,50,10,20,11664.0
350,100,50,50,10,30,19219.0
350,100,50,50,10,40,26464.0
350,100,50,50,10,50,34032.0
350,100,50,50,10,60,41976.0
350,100,50,50,10,70,49342.0
350,100,50,50,10,80,56619.0
350,100,50,50,20,10,2498.0
350,100,50,50,20,20,4097.0
350,100,50,50,20,30,7653.0
350,100,50,50,20,40,11743.0
350,100,50,50,20,50,15503.0
350,100,50,50,20,60,19832.0
350,100,50,50,20,70,23909.0
350,100,50,50,20,80,28123.0
350,100,50,50,30,10,2780.0
350,100,50,50,30,20,3808.0
350,100,50,50,30,30,6385.0
350,100,50,50,30,40,9644.0
350,100,50,50,30,50,13247.0
350,100,50,50,30,60,16471.0
350,100,50,50,30,70,19913.0
350,100,50,50,30,80,23046.0
350,100,50,50,40,10,3151.0
350,100,50,50,40,20,3550.0
350,100,50,50,40,30,5590.0
350,100,50,50,40,40,8196.0
350,100,50,50,40,50,11292.0
350,100,50,50,40,60,13908.0
350,100,50,50,40,70,16846.0
350,100,50,50,40,80,19627.0
350,100,50,50,50,10,3760.0
350,100,50,50,50,20,3715.0
350,100,50,50,50,30,5614.0
350,100,50,50,50,40,7756.0
350,100,50,50,50,50,10299.0
350,100,50,50,50,60,12622.0
350,100,50,50,50,70,15027.0
350,100,50,50,50,80,17655.0
350,100,50,50,60,10,4322.0
350,100,50,50,60,20,3649.0
350,100,50,50,60,30,4983.0
350,100,50,50,60,40,6930.0
350,100,50,50,60,50,8949.0
350,100,50,50,60,60,11037.0
350,100,50,50,60,70,13115.0
350,100,50,50,60,80,15290.0
350,100,50,50,70,10,4824.0
350,100,50,50,70,20,3921.0
350,100,50,50,70,30,4958.0
350,100,50,50,70,40,6557.0
350,100,50,50,70,50,8146.0
350,100,50,50,70,60,10105.0
350,100,50,50,70,70,11832.0
350,100,50,50,70,80,13650.0
350,100,50,50,80,10,5488.0
350,100,50,50,80,20,4141.0
350,100,50,50,80,30,4940.0
350,100,50,50,80,40,6238.0
350,100,50,50,80,50,7780.0
350,100,50,50,80,60,9497.0
350,100,50,50,80,70,11507.0
350,100,50,50,80,80,12655.0
650,500,450,350,10,10,17718.0
650,500,450,350,10,20,34748.0
650,500,450,350,10,30,52399.0
650,500,450,350,10,40,70652.0
650,500,450,350,10,50,89622.0
650,500,450,350,10,60,108224.0
650,500,450,350,10,70,128397.0
650,500,450,350,10,80,145872.0
650,500,450,350,20,10,13780.0
650,500,450,350,20,20,14499.0
650,500,450,350,20,30,22412.0
650,500,450,350,20,40,31975.0
650,500,450,350,20,50,42598.0
650,500,450,350,20,60,52527.0
650,500,450,350,20,70,62736.0
650,500,450,350,20,80,72714.0
650,500,450,350,30,10,18134.0
650,500,450,350,30,20,15730.0
650,500,450,350,30,30,20709.0
650,500,450,350,30,40,28010.0
650,500,450,350,30,50,36001.0
650,500,450,350,30,60,43601.0
650,500,450,350,30,70,52159.0
650,500,450,350,30,80,60523.0
650,500,450,350,40,10,22815.0
650,500,450,350,40,20,17205.0
650,500,450,350,40,30,20212.0
650,500,450,350,40,40,26269.0
650,500,450,350,40,50,32362.0
650,500,450,350,40,60,38917.0
650,500,450,350,40,70,45871.0
650,500,450,350,40,80,53092.0
650,500,450,350,50,10,27803.0
650,500,450,350,50,20,20022.0
650,500,450,350,50,30,21367.0
650,500,450,350,50,40,25359.0
650,500,450,350,50,50,30265.0
650,500,450,350,50,60,36084.0
650,500,450,350,50,70,41791.0
650,500,450,350,50,80,47444.0
650,500,450,350,60,10,32652.0
650,500,450,350,60,20,21952.0
650,500,450,350,60,30,21714.0
650,500,450,350,60,40,24361.0
650,500,450,350,60,50,28782.0
650,500,450,350,60,60,33664.0
650,500,450,350,60,70,38277.0
650,500,450,350,60,80,43645.0
650,500,450,350,70,10,37614.0
650,500,450,350,70,20,24360.0
650,500,450,350,70,30,22269.0
650,500,450,350,70,40,24501.0
650,500,450,350,70,50,27472.0
650,500,450,350,70,60,31256.0
650,500,450,350,70,70,35308.0
650,500,450,350,70,80,39630.0
650,500,450,350,80,10,42635.0
650,500,450,350,80,20,27089.0
650,500,450,350,80,30,23885.0
650,500,450,350,80,40,25074.0
650,500,450,350,80,50,27673.0
650,500,450,350,80,60,30230.0
650,500,450,350,80,70,34224.0
650,500,450,350,80,80,38047.0
50,100,250,650,10,10,6271.0
50,100,250,650,10,20,6371.0
50,100,250,650,10,30,6773.0
50,100,250,650,10,40,8485.0
50,100,250,650,10,50,11322.0
50,100,250,650,10,60,13031.0
50,100,250,650,10,70,15744.0
50,100,250,650,10,80,17441.0
50,100,250,650,20,10,11318.0
50,100,250,650,20,20,7313.0
50,100,250,650,20,30,6236.0
50,100,250,650,20,40,6405.0
50,100,250,650,20,50,6914.0
50,100,250,650,20,60,7861.0
50,100,250,650,20,70,8690.0
50,100,250,650,20,80,10333.0
50,100,250,650,30,10,16249.0
50,100,250,650,30,20,9877.0
50,100,250,650,30,30,7877.0
50,100,250,650,30,40,7090.0
50,100,250,650,30,50,7561.0
50,100,250,650,30,60,7870.0
50,100,250,650,30,70,8423.0
50,100,250,650,30,80,9102.0
50,100,250,650,40,10,21269.0
50,100,250,650,40,20,12618.0
50,100,250,650,40,30,9596.0
50,100,250,650,40,40,8252.0
50,100,250,650,40,50,8156.0
50,100,250,650,40,60,8314.0
50,100,250,650,40,70,8545.0
50,100,250,650,40,80,8903.0
50,100,250,650,50,10,26497.0
50,100,250,650,50,20,15651.0
50,100,250,650,50,30,11446.0
50,100,250,650,50,40,9588.0
50,100,250,650,50,50,9217.0
50,100,250,650,50,60,8752.0
50,100,250,650,50,70,8839.0
50,100,250,650,50,80,9099.0
50,100,250,650,60,10,31496.0
50,100,250,650,60,20,18333.0
50,100,250,650,60,30,13254.0
50,100,250,650,60,40,10623.0
50,100,250,650,60,50,9799.0
